Name,Volume,2013,2014,2015,2016,2017
Cannonsville,95.7,83.56,78.13,70.33,69.04,73.85
Pepacton,140.2,125.17,122.99,116.85,117.05,124.43
Schoharie,17.6,16.34,16.26,15.59,13.12,15.14
